task_key,min_memory_mb,max_memory_mb
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 18, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 19, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 53, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 54, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 7, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 8, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 9, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 2, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 20, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 55, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 56, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 16, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 57, 0)",0,0
"('getitem-percentile-percentile_chunk-concatenate-80db5d179e75f376f0f7f1bdd19f128c', 59, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 28, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 29, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 3, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 31, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 32, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 1, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 10, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 11, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 12, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 13, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 58, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 33, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 21, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 22, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 23, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 24, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 14, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 25, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 27, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 47, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 48, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 49, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 5, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 50, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 34, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 35, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 36, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 37, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 39, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 51, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 4, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 40, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 41, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 43, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 44, 0)",0,0
